	Hosp_diff	Beds_diff	Nurse_diff	area_diff	hispanic_diff	black_diff	2wk_prior_intra_diff	2wk_prior_inter_diff	2wk_onset_intra_diff	2wk_onset_inter_diff	RUCC_diff	elderly_diff	death_diff	More_Deaths
1486	0.624714409105286	0.5918755790235971	0.5672438402453792	0.6346043125506606	0.6908152962339101	0.5659915226951965	0.46532568018966736	0.46497398254416994	0.45317564654598874	0.44797044593146906	0.5	0.5666915695507504	0.5698101206305992	0.0
1448	0.675396831103738	0.5467836712701767	0.5670860387077167	0.6374840472079578	0.42965454390220037	0.33210461505263383	0.47320629641109707	0.4728846205001805	0.47446726597581124	0.4737296465945936	0.5	0.7481404188012731	0.5494856088645527	0.0
1485	0.626817213821195	0.6064699562619215	0.5729479183578392	0.6220206903180979	0.4502776695165811	0.49277684577368425	0.49363403148142904	0.4937500492919405	0.4924378060159371	0.4930810121042763	0.2857142857142857	0.6048221871685824	0.53531839436091	0.0
1327	0.6516718197025035	0.599980295448147	0.6403686409426707	0.6449178736794979	0.44541802942893455	0.5332360051136678	0.47727104354770733	0.4738897082304775	0.4774605363376035	0.4738245067930825	0.7142857142857143	0.7932314330180288	0.5365376238529356	0.0
369	0.23563978576811093	0.2394918334541901	0.3570821073377902	0.6481528354809387	0.6509735661905741	0.5109279558429618	0.4986964835833679	0.5005999915251281	0.4964237836504088	0.49831741004292396	0.35714285714285715	0.5510608337831999	0.3746007029012692	1.0
689	0.620823909997174	0.5902576761455502	0.5566904537890763	0.6328554508241568	0.4546985410611555	0.49234107835725727	0.49733587714163957	0.4997456870053345	0.4962346315635331	0.49817023300769264	0.5	0.6132908557447939	0.5322696018012688	1.0
219	0.6246660484026823	0.5859847424681704	0.5671126567725928	0.4779937116812854	0.3309812831046713	0.487485553708513	0.4901666543193499	0.49726377931968163	0.4920580006351471	0.4978558720590032	0.42857142857142855	0.7187460526145782	0.5303807287871184	1.0
1575	0.6606161566712425	0.5255217919358188	0.6646310921098446	0.6283981484284027	0.399591687697842	0.5419931704445973	0.4416575184273915	0.44144231091845554	0.4445292398965696	0.44493813907746904	0.6428571428571429	0.6401813808124687	0.5383048870171291	0.0
1320	0.6541804414615018	0.658884603545265	0.593295871373015	0.6499452690762465	0.3241047192533828	0.4802651655667768	0.49968353800903514	0.502150866355146	0.49801519958479346	0.5004701041472993	0.6428571428571429	0.6945321084414885	0.5064431268203142	1.0
21	0.6784768843214198	0.5826275930589158	0.5707848175822064	0.6284516985877726	0.4277495450593646	0.45551032044587225	0.46389161634939285	0.46361385916928344	0.46862948122242476	0.46836458373217726	0.5714285714285714	0.713182660488433	0.49995251350526343	1.0
760	0.6328551173674265	0.6074497833013327	0.5893263643460163	0.6464382325520444	0.3407244264761586	0.40613353449245976	0.4538091576785771	0.45295543781335473	0.45951333324326094	0.45845761456611117	0.5	0.6429086081988424	0.5358285838296024	0.0
869	0.6174130573427193	0.5558428266064395	0.5259345316893349	0.6385883113639093	0.5243290106034032	0.5671932941528458	0.49631107595040796	0.4966987432994709	0.4947962022737282	0.4957154810349167	0.5	0.5999680077258964	0.5081495925890276	1.0
420	0.6183821535428785	0.5611025751901585	0.5393863279931281	0.6454354143501788	0.4495528069640715	0.4932224599990042	0.49540812946294815	0.49658164569982455	0.49416828831145193	0.4957387074107891	0.2857142857142857	0.6475848262286508	0.5426677893426439	0.0
1349	0.6606745072902959	0.6482400624974222	0.5840935562537567	0.6426441538692319	0.3523691410203549	0.14345846571453097	0.481458741767172	0.47343602186837774	0.483703783464805	0.4758295639339915	0.5	0.8130812773350907	0.5445278536616089	0.0
199	0.6365996130355988	0.5460822496005784	0.5994837011740284	0.6334421743094275	0.4988370564525239	0.35953173043453857	0.46375300270821296	0.46052815027632227	0.46993512192598863	0.46630399025688024	0.5714285714285714	0.6925766895365387	0.5558498500700175	0.0
450	0.602972823070216	0.6336386520205872	0.5082675101589285	0.6344626208246259	0.5102623823406405	0.4347477979273584	0.4980745233922658	0.5000563431943503	0.4962092475172424	0.4984737856428572	0.35714285714285715	0.7359476022513564	0.5405670959782691	0.0
1161	0.6912536932314384	0.684198391556634	0.5739894973805878	0.6567903764044029	0.36168787582706474	0.6733226728069838	0.48023267670145897	0.4811879899034065	0.48050907841309315	0.4809338474871073	0.7142857142857143	0.536298731996305	0.5447799036485508	0.0
1019	0.6460568085603137	0.5079336300506743	0.6251373349088453	0.6203436722836682	0.4031425940993108	0.4892222314996036	0.44579353020438234	0.4455757492475209	0.4476557082647043	0.4480463340902602	0.5	0.7734387978974618	0.5346323325594091	0.0
911	0.6617207076178311	0.5525490137685054	0.6476939822872607	0.6408101440632331	0.4398911340167362	0.453657234507357	0.49149155012809626	0.4932467702249677	0.48922071933201206	0.4909830494598775	0.5714285714285714	0.6934807132143961	0.5578011271792938	0.0
