FIPS,cum_deaths,Total Hospitals (2019),ICU Beds,m50,Inter_movement,Total_movement,Intra_movement,POP_ESTIMATE_2018,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Total_age65plus,normalized_deaths,percent_age65plus,normalized_deaths log,Total Hospitals (2019) log,m50 log,ICU Beds log,Total_movement log,Inter_movement log,Intra_movement log,Density per square mile of land area - Population log
6041.0,121,2.356599033,66.0,4.502,474528.8313520482,593905.5406966707,119376.70934462245,259666,485.1,1.0,57943.0,121.0,0.22314434696879837,4.795790545596741,0.8572194919600931,1.5045217424845405,4.189654742026425,13.294475563303203,13.07007765672899,11.69003939679777,6.184355055251171
6059.0,207,28.91425565,651.0,4.981,6967839.266134158,7904764.790895713,936925.5247615548,3185968,3807.7,1.0,470387.0,207.0,0.14764335360556038,5.332718793265369,3.3643347485847293,1.6056306740911463,6.478509642208569,15.882976273710641,15.756815729816466,13.750359075416561,8.244780611295225
6061.0,111,3.5680241280000002,70.0,5.2989999999999995,720523.3182207105,919347.2807578355,198823.962537125,393149,247.6,1.0,76906.0,111.0,0.19561540281165665,4.709530201312334,1.272011977026737,1.667518123510625,4.248495242049359,13.731419219789867,13.487733057840707,12.200175101841774,5.511814540810441
6065.0,135,22.24185659,351.0,4.918,4555854.447803277,5487289.86304278,931435.4152395036,2450758,303.8,1.0,353122.0,135.0,0.14408684986440928,4.90527477843843,3.1019759456643268,1.5929019437940009,5.860786223465865,15.517945041881593,15.33192365567349,13.744482132470303,5.716369590161673
6067.0,178,13.9851201,396.0,3.773,2984219.660713303,3524166.803355636,539947.1426423332,1540975,1470.8,1.0,217601.0,178.0,0.14120994824705138,5.181783550292085,2.637993914389662,1.3278704409821735,5.981414211254481,15.075154598446852,14.908848850436074,13.199226529753826,7.293561749427117
6071.0,248,19.70838512,410.0,4.508,4051274.7654000805,4969520.890006342,918246.1246062615,2171603,101.5,1.0,251361.0,248.0,0.11574905726322905,5.5134287461649825,2.981044185793812,1.50585359617753,6.016157159698354,15.418833993024856,15.214542146446073,13.730220743260551,4.620058798481842
6073.0,247,30.3427032,570.0,4.555,7191139.031232322,7726253.361890853,535114.3306585317,3343364,735.8,1.0,469454.0,247.0,0.14041366719268378,5.5093883366279774,3.4125560668532726,1.5162255307119217,6.345636360828596,15.860134615081344,15.788360135958685,13.190235705212569,6.6009583426706735
6075.0,127,8.016435377999999,337.0,2.6630000000000003,1533287.122766041,1902060.4566599012,368773.3338938602,883305,17179.2,1.0,138249.0,127.0,0.15651332212542665,4.844187086458591,2.081493856490332,0.9794533068317953,5.820082930352362,14.458448307418223,14.24292443501058,12.817937462990407,9.751454628679872
6077.0,154,6.830766555,121.0,3.261,1362370.6022403815,1669227.2316768968,306856.6294365153,752660,492.6,2.0,95916.0,154.0,0.12743602689129221,5.0369526024136295,1.921436900813538,1.1820338968071822,4.795790545596741,14.327871341775001,14.124736830176774,12.63413591239571,6.199697485686437
6081.0,169,6.984006389,131.0,4.522,1419323.130838034,1852096.4811607103,432773.35032267636,769545,1602.2,1.0,123921.0,169.0,0.16103151862464182,5.1298987149230735,1.9436227333421519,1.5089543738557782,4.875197323201151,14.431828788490462,14.165690647511015,12.977969429578561,7.379132963781016
6085.0,226,17.584418399999997,313.0,4.088,3958706.3007793394,4499758.124063297,541051.8232839578,1937570,1381.0,1.0,261131.0,226.0,0.1347724211254303,5.420534999272286,2.867013191736692,1.4080558529014033,5.746203190540153,15.319534203087798,15.191427838132908,13.201270344893308,7.2305631534092925
6107.0,171,4.227921954,51.0,2.978,885407.792067247,1020887.948238458,135480.15617121104,465861,91.7,2.0,53292.0,171.0,0.11439463702692435,5.14166355650266,1.441710608518789,1.0912519342618172,3.9318256327243257,13.836183344051143,13.693803599859532,11.816580459656251,4.51852237926242
6111.0,120,7.722951827999999,139.0,4.531000000000001,1707897.7935983434,2014160.4246542,306262.6310558566,850967,446.7,2.0,132387.0,120.0,0.1555724252526831,4.787491742782046,2.044196652095189,1.5109426656850014,4.9344739331306915,14.515713003832266,14.350773811726564,12.632198284254574,6.101887228358073
6113.0,156,2.0003130159999998,14.0,3.613,385246.030945467,507964.50844039797,122718.47749493096,220408,197.9,1.0,27535.0,156.0,0.12492740735363507,5.049856007249537,0.6933036763138459,1.2845384521655032,2.6390573296152584,13.13816685884512,12.8616374505867,11.717648210192076,5.28776185260852
8001.0,249,7.9985497489999995,168.0,3.6439999999999997,725653.7038956069,1069097.9313452777,343444.2274496708,511868,378.2,1.0,53587.0,249.0,0.10468909953347347,5.517452896464707,2.0792602438713814,1.2930819793977117,5.123963979403259,13.88232579605002,13.49482818813079,12.746780011958695,5.935423156224357
8005.0,246,10.176013300000001,127.0,3.555,959583.3394116831,1360548.7526597586,400965.4132480754,651215,716.7,1.0,85065.0,246.0,0.13062506238339106,5.5053315359323625,2.320033313593768,1.2683550632552043,4.844187086458591,14.123398670932941,13.774254447783285,12.901630451317171,6.574657342999874
8013.0,229,5.095358774,72.0,3.0460000000000003,533487.6874103721,668803.9461966371,135316.25878626504,326078,405.6,2.0,46486.0,229.0,0.14256098234164832,5.43372200355424,1.6283300810748296,1.1138292544729702,4.276666119016055,13.413246241148853,13.187191270564226,11.815369975352132,6.005367452276974
