FIPS,inter_movement,in_movement,out_movement
37097,319186.208500604,89682.04124665982,84951.29264889497
37099,63074.899537334786,32144.65499312526,21494.222262354677
37101,295469.40421979746,81973.64738819898,131179.55611667974
37103,9989.30433699606,3896.200014912877,12425.999699865626
37105,100385.89152610554,38679.68706087981,30582.41447624875
37107,94090.0642018451,29535.395602989174,29057.67890956876
37109,137201.12201983255,45228.983263525,61999.75549040386
37111,75217.93452067941,17876.812718108522,25138.758068086387
37113,52920.253025282196,11135.407706784574,14268.291766049066
37115,25926.95202978064,8176.499246891898,19927.701564540326
37117,33262.77171797433,9637.024605013361,15555.32391166391
37119,1962535.1824667144,638913.26888354,370857.5579047528
37121,21999.854290806757,8174.525346816328,9568.01583278758
37123,38803.16653782352,11533.346932912382,19613.41733019798
37125,160171.13300592633,47171.630834801086,42470.34453150856
37127,157994.7664484088,61020.597715019205,54959.863580593454
37129,434666.8298990779,120613.42876258239,64723.393852137946
37131,21875.43321556612,7565.023679049351,17854.24200293391
37133,329251.55347230233,54452.61021934937,66042.2686360751
37135,226498.85722762503,89050.14543659864,93119.56278720537
37137,16569.110756477905,5043.883078612284,8508.329446511363
37139,67071.78089859594,25395.62039812039,19367.538519255035
37141,79074.03956387215,24187.221237949798,52459.00324303612
37143,15635.354914486048,5087.732615562022,12721.663104360694
37145,64075.88043325476,13295.379205541461,25397.691788842145
37147,350957.5092526746,86043.69471113817,62142.07160592307
37149,24619.868051983678,9650.123515038444,18780.339875079397
37151,244200.03419394203,52144.39827619369,97342.66264735637
37153,80163.47866477228,15488.903372022016,20836.89719392956
37155,221629.7402203022,41373.73941443365,61664.49860867848
37157,160110.44786842033,28971.148855850974,54129.244714150984
37159,242695.88006595234,57928.29757521318,92763.40688003173
37161,127727.23134993682,20117.64535588713,34912.9038428416
37163,103881.50725391766,20376.328758891992,46610.14887375713
37165,56887.80407952397,20694.81102814369,19257.96541404696
37167,111132.89584213283,28081.409287622922,36012.249976663894
37169,68092.68182578414,17909.260740256803,44818.00904315106
37171,142996.7947468525,45995.162457594524,38673.955484780156
37173,18529.854360678808,8958.169848130157,9666.154591806813
37175,58338.214397159594,10501.594230724242,18313.515536790594
37177,4160.408045039065,1410.9446873427285,2061.990074627432
37179,375219.0141812189,97100.26293657174,172471.374288046
37181,71630.13156028425,24861.449686587206,22544.701619932894
37183,1957936.8225804423,434086.80982527445,314706.9141040608
37185,22344.004726806517,6445.289278359616,17062.90635373877
37187,16063.82084920674,4620.926866646654,9144.355685590856
37189,102729.85987305258,50162.83390727955,22821.369756241318
37191,222189.36275216183,47462.40433902778,49420.987232832565
37193,132635.4073358431,20842.732553112237,37154.70777797654
37195,144272.14883305924,40708.90899125567,38923.92526078959
37197,57656.446923973686,17405.610620439726,34945.8536884085
37199,25742.581304132553,5430.784098442921,13035.615174379354
38001,2443.4384537408514,850.9106097737877,1267.179524449774
38003,16258.57998724196,4254.2917491498,5282.781690246751
38005,7045.979214060679,1568.5167823219497,4156.458795212023
38007,727.2878497972634,778.0388870162127,1070.982447464356
38009,8694.605891094196,2439.3477910411407,4078.722754515696
38011,4035.2358869777395,1014.7808054737745,1366.5840532012085
