FIPS,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Post Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,2wk Post Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,HospCt,NursingCt,Hispanic Population,Black Population,Outbreak_date,Outbreak Month Temp AVG / F,Time from outbreak to intervention,Time from outbreak to national intervention,Time from national intervention to outbreak,Deaths,normalized_deaths
17113,0.09785658077890817,0.09500196727382137,0.09594634136664364,0.22377409083845543,0.21836822075787982,0.22190311424405437,143.3,3.0,4.1,44.8,4.2,103.1,0.13227023398986276,2.49,0.01804684426134654,0.01091836970861203,0.09156502418589581,0.05875784016478811,0.15790265466243897,172828,5.786099474622168e-06,0.00011572198949244336,0.05062837040294397,0.08185594926747981,2020-04-16,51.0,-30,0,28,3,1.7358298423866502e-05
17119,0.1193295041612941,0.11615566324389177,0.11789775105916236,0.2780053445633625,0.2720101316586242,0.2777714456411883,376.3,1.0,7.9,25.8,4.5,92.4,0.1719913333156874,2.38,0.0181539054907907,0.011941269223061246,0.09538646530112191,0.04758735692597396,0.07167030299363611,264461,1.5125103512427162e-05,0.00015503231100237843,0.033812168902030926,0.08800541478705745,2020-04-16,56.0,-30,0,28,28,0.00010587572458699014
17143,0.08627734316607703,0.09119885601025668,0.09518273069022982,0.20910517444973573,0.22074675702160879,0.23117625145628537,301.2,2.0,9.6,30.4,5.5,86.8,0.17061139070207784,2.45,0.016659192452704835,0.01159887277780546,0.10658229109571976,0.048228057645567236,0.06555716112744366,180621,1.6609364359625956e-05,0.0001605571888097176,0.04915264559491975,0.18652869821338605,2020-04-30,51.6,-44,0,42,6,3.321872871925191e-05
17161,0.09040871657876476,0.08789711442052933,0.08631398362505092,0.22268925133844253,0.21547405806206868,0.21331642005338836,345.0,2.0,11.1,23.2,5.2,80.9,0.192867149438586,2.27,0.019375927849062915,0.01120040145807342,0.09722115739804986,0.05263561407054789,0.06490935829436077,143477,1.393951643817476e-05,0.0001393951643817476,0.13103842427706183,0.10994793590610341,2020-04-10,50.0,-24,0,22,9,6.272782397178642e-05
17163,0.09902605486553945,0.09949201412050808,0.09587624691298571,0.23608511048131975,0.2361078201807692,0.22995157635411373,410.6,1.0,9.2,27.3,5.0,89.5,0.15805239428634907,2.46,0.016291336441187625,0.00855745252988788,0.11040416151138248,0.05425593448224348,0.0668507885190704,261059,1.532220685745368e-05,0.00012257765485962943,0.04175301368656128,0.30569334901305834,2020-04-08,57.0,-22,0,20,29,0.00011108599971653918
17167,0.1066587394218084,0.10236420571054149,0.10116670908181444,0.23712115228793157,0.22851782460020068,0.22730350817149766,227.4,3.0,7.6,34.2,4.3,95.7,0.17858897966705573,2.3,0.015582447734299813,0.012260171591211582,0.10238139115834306,0.055076069373630646,0.05233224809058706,195348,1.0238139115834306e-05,0.0001945246432008518,0.023506767409955567,0.1294919835370723,2020-04-13,53.0,-27,0,25,11,5.630976513708868e-05
17197,0.09420635264549118,0.08480986015760898,0.09024074681655823,0.2395698046085878,0.20892756547954366,0.21942946698114182,809.6,1.0,9.1,34.0,4.0,132.3,0.13058600915774726,2.95,0.016826277245742514,0.011418295272349091,0.10928341349973278,0.06882610391298696,0.06355534370440988,692310,4.3333188889370365e-06,6.499978333405556e-05,0.17839407201975993,0.12131559561468129,2020-03-26,34.5,-9,0,7,88,0.00012711068740881975
17201,0.09623462523515676,0.09952594003621702,0.0953784810871346,0.22103881840541456,0.22664033950075604,0.21771984549678236,575.2,2.0,12.3,22.6,5.7,82.7,0.17536899687061086,2.45,0.011852253406598822,0.0164776947419926,0.09956667288555025,0.04983085810033054,0.04597280353138718,284081,1.0560368345647897e-05,0.00011264392902024422,0.1311984962035476,0.13625691264111292,2020-04-07,48.0,-21,0,19,10,3.520122781882632e-05
18003,0.09382798652841892,0.09855765479701475,0.09468337635972729,0.21022589522873258,0.21847436513708882,0.20995624286144357,540.6,2.0,10.7,28.2,3.2,97.8,0.14577821825438056,2.5,0.01980013374148464,0.011794293874267019,0.11538000431596027,0.05594230466949602,0.04939643160668281,375351,1.5985038004427855e-05,0.00013587282303763678,0.07608078838207438,0.12010091887326796,2020-04-06,49.2,-18,0,18,33,8.79177090243532e-05
18005,0.08949956065468494,0.09378598272656494,0.08906712057051018,0.21342687619438916,0.2216251115626365,0.21151930616240067,188.7,3.0,9.1,32.3,2.6,113.2,0.16297898565610913,2.56,0.014815172863823669,0.01224124805143016,0.10847945089604002,0.05406450521431247,0.044215919664543885,82753,1.2084154048795814e-05,9.667323239036651e-05,0.0692663710076976,0.02332241731417592,2020-04-07,54.4,-19,0,19,11,0.00013292569453675395
