	Hosp_diff	Beds_diff	Nurse_diff	area_diff	hispanic_diff	black_diff	TWOwk_prior_intra_diff	TWOwk_prior_inter_diff	TWOwk_onset_intra_diff	2wk_onset_inter_diff	RUCC_diff	elderly_diff	death_diff	More_Deaths
1096	0.22971250102058274	-2.3337529158287844	0.6205418392658149	0.2288228200095363	-0.18725807254760482	-1.2635232944813493	-0.5251559166141493	-0.4811996914612917	-0.3846307433067374	-0.3407844752168026	-0.027119968931371054	-0.13060111744974717	0.38902637299051107	0.0
154	-0.645172793408444	-0.9533770356152033	1.0752316242082733	0.003978546751174806	-0.30087299791952626	-0.0750530098387605	-0.06051085960465154	-0.05805790232474887	-0.039100182180740684	-0.03433376848892436	-1.0332410141215762	0.2659026683389247	0.593635552212649	0.0
1537	-0.12779818484345062	-0.36871624561111105	-0.21601833156804565	-0.04771663051836972	0.14450858122071836	0.2021693369832264	0.862607142040837	0.9552673583067927	0.8669234977143663	0.9716824297010512	-0.5301804915264737	-0.019527669754347603	-0.15338366699781267	1.0
22	-0.3444346037925536	-0.7656226390335962	-0.34394709166395887	-0.11824385845883702	0.004566901388611246	-0.46403713697823995	-0.3414199908736009	-0.3533187156822416	-0.3020950065803315	-0.34102736548477414	-0.5301804915264737	1.573829373637973	0.1844414832328731	0.0
538	0.28993525081663557	-0.4114093948788695	0.17176307339122268	-0.1529249100893164	-0.17426652567909948	-0.27321326311696525	-0.08583501355662485	-0.07027346813364209	-0.06952539079086675	-0.07046421484599699	-0.027119968931371054	-0.47319646337933924	-0.0753391152362529	1.0
1572	0.5362973710578818	0.1318384519554058	-0.7614499350529513	-0.09822189322160778	-0.5227166825983108	0.7336040900648675	0.013831887186353184	0.023120339416710697	0.015924526191991084	0.024406232641469256	-1.0332410141215762	0.3081720640291518	1.0388035895072985	0.0
1236	0.029274137814884103	-0.9685726576552899	0.15152438609578728	0.6173216626130592	-0.3915880668980228	-0.08998745807474556	0.014843235187630055	-0.008066900285910415	0.02456895534215757	0.011275626274629169	1.4820615988539367	0.029715994847684432	1.0237967685588345	0.0
881	-1.7240892449065508	0.16150267649075184	-1.4155920410067062	0.2701558245974938	-0.1760455257898037	0.3922618977261655	0.1476332277552849	0.14060712336486347	0.13727534080187478	0.12648865270101495	-2.0393620593117814	-1.969591430181226	-0.2606245512213947	1.0
338	-0.0953595897748238	-0.3866241120820733	-0.1401133650727465	-0.31648858318288514	1.7488454191592437	0.2862959644214915	0.30208918407600865	0.2823034889590877	0.29447136806573126	0.29500467502858413	-0.5301804915264737	0.36696146953179454	0.15076149826170734	0.0
1164	0.3449452056397803	1.629834923726629	-0.27386094592475385	0.19773630196477496	0.4995802870210874	0.5591803925451744	0.29144402397114	0.34770037639951973	0.25770867918907203	0.28024857225301103	-0.027119968931371054	-1.6157221757633946	-2.295677097027742	1.0
1610	2.1425884991345345	1.677340835006536	2.2542537042815463	-0.13952184462716785	0.01997901533555378	0.07324033541709861	0.03257361043287281	0.022250464264607386	0.03189020346596427	0.02380834890492381	-0.027119968931371054	0.5106471222588279	-0.41568718757849693	1.0
977	2.494108353113957	-0.031610083230521085	5.919134177239034	-0.26499998830332433	-0.1556241091501999	-1.0722104404585686	-1.0941345230010884	-1.2405354003084565	-0.9205880022824459	-1.053065376006472	2.4881826440441417	2.141447800594892	2.2406006839627195	0.0
258	-0.2264380645676786	0.12118459356487908	-0.4468315572866036	3.035624699536949	-3.15434338594486	0.10106470218905221	1.2290011855091443	1.1128290339807994	1.1654347282603776	1.057194335923424	-0.5301804915264737	0.29492100608595434	-0.1003346854770849	1.0
227	0.06363954395144564	-1.9751813304737218	0.23193801054143684	0.02506647712072053	-0.3060307949918006	-1.2561899064153126	-0.037871112204639026	-0.048095149912455615	0.019517532786615496	0.008323575325436013	-0.027119968931371054	0.45153578617195084	0.010805145798018773	1.0
316	-0.05644101817572541	0.9072355552542181	-0.049045522367944724	0.15506464348972243	-0.6979084553833883	1.1402705543938545	0.07072743617247254	0.41012383000903574	0.05969556667720528	0.38442150940526937	-0.027119968931371054	-0.03950911894056587	0.057780615748656734	0.0
1078	-0.2888618872210706	0.39412118066797336	-0.5929007121618364	0.8131782949088948	0.7230982269152355	0.17818890646339783	0.8314865192586882	0.8115770429671311	0.8098623103271168	0.7841794467677712	-0.027119968931371054	-0.2595378537196436	0.14049827771665274	0.0
107	-0.20940220381051905	0.20273813524494214	-0.13942858023623705	0.11726832941828752	0.08781207511229779	-1.30184890087939	0.06848224360963806	0.071171030124316	0.06539929891708522	0.07219956383157075	-0.027119968931371054	0.2633169898942508	-0.3511504095231812	1.0
1535	0.2602000663443865	-1.2818799502823477	0.6918814771117434	-0.01633263383203181	-0.008193732007969228	-0.4611011219526273	-0.6068294916315525	-0.5952769379499936	-0.4425961485897559	-0.43588743304625877	0.9790010762588341	-0.2579900851702137	0.7383048273979691	0.0
1277	0.8598729946683125	1.8217510047782453	0.5058863773270522	-0.05746731932560485	0.2854680132855667	0.8205947747308775	0.09765529909789925	0.11177764178228647	0.09192655941348586	0.1008709953781997	0.4759405536637315	-0.5190644224216092	-0.717711576421345	1.0
