FIPS,1 Month Prior Intra-Mobility,1 Month Prior Inter-Mobility,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Post Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,2wk Post Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,Area in square miles - Land area,NursingCt,HospCt,Hispanic Population,Black Population,Outbreak Month Temp AVG / F,Time from outbreak to intervention,Time from outbreak to national intervention,Time from national intervention to outbreak,Deaths,normalized_deaths
36105.0,0.06246409554841573,0.09800221765571843,0.05816615766548213,0.05613393732284299,0.05816615766548213,0.08051395874252114,0.07964449389387798,0.08051395874252114,80.1,4.0,13.8,23.2,4.1,76.8,0.18858777715965985,2.5,0.015285173117168666,0.008278364989801053,0.09539325545047551,0.05086227449733768,0.046981376990118943,75498.0,968.13,6.622691991840843e-05,0.0020132983655196165,0.1662163236112215,0.09887679143818379,47.5,-18,7,0,17,0.00022517152772258867
36111.0,0.061774781973663345,0.09329807477725464,0.053413752916549706,0.052517891237592935,0.053413752916549706,0.07254759865076849,0.07295073640629904,0.07254759865076849,162.3,3.0,9.5,32.2,3.9,93.2,0.19780625871365462,2.41,0.009944064636420136,0.011170275309492215,0.0762770228276754,0.04604169116288445,0.07601946259497533,178599.0,1124.24,5.039221944131826e-05,0.0008510685950089307,0.10517976024501817,0.07271037351832876,47.9,-16,8,0,17,9.518530338915671e-05
36113.0,0.06333596381056111,0.10072089895633035,0.07527647797623684,0.070441586733503,0.07527647797623684,0.13538918095830874,0.11674761867712939,0.13538918095830874,75.8,3.0,8.3,30.0,4.6,83.8,0.22237609896522212,2.26,0.015342721543608497,0.010005446199330895,0.07937446510542286,0.04453434995720843,0.039570528281335095,64265.0,866.95,0.00012448455613475452,0.0023652065665603363,0.027090951528825954,0.013506574340620867,52.6,,0,36,28,0.00043569594647164086
36117.0,0.06672715275486643,0.1004314392305154,0.07638932949267821,0.07340811613328933,0.07638932949267821,0.12282852828464871,0.11655045301119205,0.12282852828464871,155.3,1.0,10.6,22.3,4.2,90.3,0.18877686978148872,2.46,0.013479303606324392,0.013246136081009061,0.0987186889323148,0.04732190442352105,0.0447459584295612,90064.0,603.83,7.772250843844377e-05,0.0013323858589447503,0.044734855214069995,0.030944661573991828,53.7,,0,40,3,3.330964647361876e-05
36119.0,0.07089196318949569,0.1042030424237339,0.05155135972447045,0.04945754526164857,0.05155135972447045,0.06618561985589265,0.06596932891046649,0.06618561985589265,2204.7,1.0,12.2,48.2,3.9,139.7,0.1705311633175281,2.67,0.019710379780325173,0.00991926516000215,0.09702546061851237,0.05986077063947119,0.06704650211035001,967612.0,430.5,9.301248847678615e-06,0.00015708775831634994,0.25140345510390527,0.16628152606623317,37.8,-10,12,0,668,0.0006903593589165905
37001.0,0.10244246608735068,0.1468128461218901,0.10855266546042562,0.10756858921318524,0.10855266546042562,0.1624622763619133,0.15761056158866713,0.1624622763619133,356.5,3.0,14.5,24.0,3.7,93.6,0.1689958903121921,2.5,0.012623470883703044,0.01098920906534644,0.10314475233723473,0.05527650267970872,0.06114061861616477,166436.0,423.94,5.407483957797592e-05,0.0009132639573169267,0.12917277512076714,0.20643971256218607,72.3,-50,0,26,23,0.0001381912566992718
37021.0,0.08066940835994064,0.11467982120734109,0.0750357965751072,0.07515792120177264,0.0750357965751072,0.10317105001265364,0.10088431462170873,0.10317105001265364,362.9,2.0,9.0,39.2,3.0,100.1,0.20002856007070546,2.33,0.01242749022589472,0.012620463676607373,0.0791268337302154,0.038922745008741697,0.05628649610386603,259103.0,656.67,3.473522112827717e-05,0.0005866392901664589,0.0668691601409478,0.06288618811823869,56.0,-29,0,5,5,1.9297345071265095e-05
37023.0,0.10422555692189031,0.15600546252888517,0.09971486105008266,0.10117769973161538,0.09971486105008266,0.14927276923028257,0.14647986166651436,0.14927276923028257,179.3,2.0,19.1,16.6,3.6,83.4,0.20240755902723995,2.42,0.005244407072204643,0.011152663140890886,0.0928392821579518,0.04584983735699586,0.03987519638866146,90382.0,507.1,9.957734947224005e-05,0.0016817507910867207,0.06249031886880131,0.06896284658449692,58.8,-28,0,4,9,9.957734947224005e-05
37025.0,0.11836360023090536,0.1899468295802202,0.11268025961981717,0.11231017565300366,0.11268025961981717,0.17740236880776844,0.17257032271321887,0.17740236880776844,492.1,1.0,10.0,31.2,3.6,128.5,0.1322406336648655,2.84,0.026520994407169422,0.008337197528177078,0.11434073681520947,0.07382820262891428,0.058573307719241796,211342.0,361.75,4.2585004400450456e-05,0.0007192134076520521,0.10781576780762935,0.19026033632690142,61.6,-29,0,5,15,7.09750073340841e-05
37031.0,0.10694354262043122,0.15968093238100653,0.11644796863570235,0.10781374571576521,0.11644796863570235,0.18773784181413183,0.16466050777943012,0.18773784181413183,131.3,4.0,8.9,28.4,4.3,102.1,0.24974109659973534,2.38,0.012873252402048214,0.007853403141361256,0.07640527012254761,0.04384097577814855,0.045380012657499566,69524.0,506.25,0.00011506817789540303,0.001941775501984926,0.04264714343248375,0.05773545825901847,64.3,,0,13,3,4.315056671077614e-05
