,FIPS,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Jan Temp AVG / F,Feb Temp AVG / F,Mar Temp AVG / F,Apr Temp AVG / F,May Temp AVG / F,Jun Temp AVG / F,Jul Temp AVG / F,Aug Temp AVG / F,Sep Temp AVG / F,Oct Temp AVG / F,Nov Temp AVG / F,Dec Temp AVG / F,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,Area in square miles - Land area,HospCt,Beds,NursingCt,Hispanic Population,Black Population,Deaths,Outbreak_date
41,4025,18714.285714285714,18065.85714285714,24788.857142857138,23683.857142857138,26.0,3.0,9.7,25.2,4.5,82.5,43.5,39.7,50.3,58.9,58.7,73.7,80.2,80.5,72.1,59.0,51.9,42.7,73278.0,2.25,1856.0,2003.0,17785.0,8500.0,10915.0,231993,8123.5,1.0,316,9.0,34046.0,2030.0,6,2020-05-06
42,4027,11902.0,12181.142857142857,15090.142857142857,15049.857142857143,35.5,3.0,27.9,14.8,17.0,74.7,54.3,53.0,63.3,73.0,72.8,85.9,92.8,94.3,85.9,72.4,63.9,54.2,39828.0,2.76,3092.0,3676.0,22879.0,12495.0,12130.0,212128,5513.99,1.0,369,9.0,136425.0,5712.0,15,2020-05-09
43,5023,2953.0,3062.142857142857,4924.285714285715,5034.142857142857,46.9,6.0,15.3,14.9,4.5,95.3,39.2,44.0,46.6,60.1,68.6,74.4,78.2,78.5,78.3,60.0,44.8,44.8,6687.0,,,,,,,24965,553.69,0.0,0,5.0,604.0,108.0,4,2020-04-09
44,5035,4620.857142857143,4734.714285714285,7860.571428571428,7783.857142857143,83.5,1.0,17.6,18.0,4.3,90.5,41.3,47.6,49.4,62.0,73.2,77.2,80.7,80.8,80.9,63.0,46.6,46.9,6838.0,,,,,,,48342,609.76,0.0,0,7.0,1267.0,26118.0,7,2020-04-16
45,5045,21098.428571428565,20853.14285714286,31119.142857142862,30662.42857142857,174.8,2.0,8.7,30.0,3.3,114.4,40.2,45.3,48.2,61.0,70.5,76.3,79.8,80.8,79.6,60.4,45.7,45.3,15582.0,2.74,1405.0,1561.0,12679.0,5107.0,14113.0,124806,647.88,1.0,146,9.0,5165.0,15190.0,3,2020-05-13
46,5069,6918.428571428572,7280.571428571428,10773.0,10577.57142857143,88.9,3.0,14.0,17.8,5.3,82.0,43.0,48.0,50.7,61.8,72.5,77.1,80.1,81.6,81.2,62.6,47.2,46.7,11777.0,2.38,1031.0,807.0,6697.0,3465.0,3455.0,68114,870.75,1.0,498,9.0,1456.0,38912.0,17,2020-04-12
47,5075,1931.857142857143,1801.428571428571,3547.857142857143,3378.0,29.6,6.0,14.5,15.0,3.9,85.6,38.4,43.1,46.4,59.6,69.4,75.0,79.1,78.3,78.0,59.3,43.4,43.6,3242.0,,,,,,,16434,587.61,0.0,0,2.0,276.0,198.0,5,2020-05-02
48,5079,1130.0,1056.7142857142858,2222.714285714286,2076.714285714286,25.2,3.0,18.7,8.9,4.3,95.4,44.0,49.1,51.5,62.4,73.1,77.3,80.1,81.7,81.7,63.1,48.3,48.0,2049.0,,,,,,,13383,561.52,0.0,0,2.0,524.0,4074.0,8,2020-05-03
49,5119,43252.0,45307.142857142855,62282.714285714275,64592.285714285725,503.8,2.0,9.6,34.1,3.5,106.1,41.4,46.5,49.3,61.2,71.2,76.5,79.8,81.3,80.4,61.3,46.5,46.1,61075.0,2.45,6632.0,4464.0,39149.0,19670.0,20506.0,392680,759.76,1.0,2340,9.0,24521.0,147401.0,17,2020-04-09
50,5139,6623.714285714284,6705.285714285716,9093.42857142857,9247.142857142857,40.1,7.0,15.2,20.8,5.6,96.3,45.9,50.6,53.1,62.7,73.4,77.6,80.4,83.3,82.4,64.3,50.2,49.3,7017.0,,,,,,,39126,1039.21,1.0,166,7.0,1615.0,12869.0,8,2020-05-11
